MARKET,BASE,QUOTE,BASE ORDER MIN,BASE ORDER MAX,QUOTE ORDER MIN,QUOTE ORDER MAX,BASE TICK SIZE,QUOTE TICK SIZE,STATUS
BTC-USD,BTC,USD,0.0001,280,5,1000000,0.00000001,0.01,Full Trading
ETH-USD,ETH,USD,0.001,2800,5,1000000,0.00000001,0.01,Full Trading
LTC-USD,LTC,USD,0.01,4000,10,250000,0.00000001,0.01,Full Trading
BCH-USD,BCH,USD,0.01,700,10,500000,0.00000001,0.01,Full Trading
EOS-USD,EOS,USD,0.1,50000,10,100000,0.1,0.001,Full Trading
DASH-USD,DASH,USD,0.01,1500,1,100000,0.001,0.001,Full Trading
OXT-USD,OXT,USD,1,500000,1,100000,1,0.0001,Full Trading
MKR-USD,MKR,USD,0.001,240,1.0,100000,0.000001,0.0001,Full Trading
XLM-USD,XLM,USD,1,600000,0.1,100000,1,0.000001,Full Trading
ATOM-USD,ATOM,USD,0.1,25000,10,100000,0.1,0.001,Full Trading
XTZ-USD,XTZ,USD,1,100000,10,100000,0.01,0.0001,Full Trading
ETC-USD,ETC,USD,0.1,20000,10,100000,0.00000001,0.001,Full Trading
OMG-USD,OMG,USD,1,500000,1,100000,0.1,0.0001,Full Trading
ZEC-USD,ZEC,USD,0.01,1200,1.0,100000,0.00001,0.01,Full Trading
LINK-USD,LINK,USD,0.1,90000,10,100000,1,1,Full Trading
REP-USD,REP,USD,0.1,5000,10,30000,0.000001,0.01,Full Trading
ZRX-USD,ZRX,USD,1,600000,10,100000,0.00001,0.000001,Full Trading
ALGO-USD,ALGO,USD,1,500000,10,100000,1,0.0001,Full Trading
DAI-USD,DAI,USD,1,100000,5,100000,0.00001,0.000001,Limit Only
KNC-USD,KNC,USD,1,500000,1,100000,0.1,0.0001,Full Trading
COMP-USD,COMP,USD,0.01,1700,1.0,100000,0.001,0.01,Full Trading
BAND-USD,BAND,USD,0.1,18000,1.0,100000,0.01,0.0001,Full Trading
NMR-USD,NMR,USD,0.01,3900,1.0,100000,0.001,0.0001,Full Trading
CGLD-USD,CGLD,USD,0.1,34000,1.0,100000,0.01,0.0001,Full Trading
UMA-USD,UMA,USD,0.01,4500,1.0,100000,0.001,0.001,Full Trading
LRC-USD,LRC,USD,1,560000,1.0,100000,0.000001,0.0001,Full Trading
YFI-USD,YFI,USD,0.00001,5,1.0,100000,0.000001,0.01,Full Trading
UNI-USD,UNI,USD,0.1,200000,1.0,100000,0.000001,0.0001,Full Trading
REN-USD,REN,USD,1,460000,1.0,100000,0.000001,0.0001,Full Trading
BAL-USD,BAL,USD,0.1,6700,1.0,100000,0.001,0.00001,Full Trading
WBTC-USD,WBTC,USD,0.0001,10,1.0,100000,0.00000001,0.01,Limit Only
NU-USD,NU,USD,10,1300000,1.0,100000,0.000001,0.0001,Full Trading
FIL-USD,FIL,USD,0.01,3400,1.0,100000,0.001,0.0001,Full Trading
AAVE-USD,AAVE,USD,0.01,1200,1.0,500000,0.001,0.001,Full Trading
GRT-USD,GRT,USD,10,2500000,10.0,2500000,0.01,0.0001,Full Trading
BNT-USD,BNT,USD,1,95000,1.0,100000,0.000001,0.0001,Full Trading
SNX-USD,SNX,USD,0.1,19000,1.0,100000,0.001,0.0001,Full Trading
SUSHI-USD,SUSHI,USD,0.1,12500,5.0,100000,0.01,0.001,Full Trading
MATIC-USD,MATIC,USD,5,1000000,5.0,100000,0.1,0.0001,Full Trading
SKL-USD,SKL,USD,5,1000000,5.0,100000,0.1,0.0001,Full Trading
ADA-USD,ADA,USD,1,250000,5.0,100000,0.01,0.0001,Full Trading
ANKR-USD,ANKR,USD,10,4000000,5,100000,1,0.00001,Full Trading
CRV-USD,CRV,USD,0.5,100000,5,100000,0.01,0.0001,Full Trading
STORJ-USD,STORJ,USD,1,280000,5,100000,0.01,0.0001,Full Trading
BTC-EUR,BTC,EUR,0.0001,200,10,600000,0.00000001,0.01,Full Trading
ETH-EUR,ETH,EUR,0.001,1600,10,400000,0.00000001,0.01,Full Trading
LTC-EUR,LTC,EUR,0.01,1000,10,250000,0.00000001,0.01,Full Trading
BCH-EUR,BCH,EUR,0.01,100,10,300000,0.00000001,0.01,Full Trading
EOS-EUR,EOS,EUR,0.1,50000,10,100000,0.1,0.001,Full Trading
XLM-EUR,XLM,EUR,1,600000,0.1,100000,1,0.000001,Full Trading
XTZ-EUR,XTZ,EUR,1,100000,10,100000,0.01,0.00001,Full Trading
ETC-EUR,ETC,EUR,0.1,20000,10,100000,0.00000001,0.001,Full Trading
OMG-EUR,OMG,EUR,1,500000,1,100000,0.1,0.0001,Full Trading
LINK-EUR,LINK,EUR,0.1,90000,10,100000,0.01,0.00001,Full Trading
ZRX-EUR,ZRX,EUR,1,600000,10,100000,0.00001,0.000001,Full Trading
ALGO-EUR,ALGO,EUR,1,500000,10,100000,1,0.0001,Full Trading
BAND-EUR,BAND,EUR,0.1,18000,1.0,100000,0.01,0.0001,Full Trading
NMR-EUR,NMR,EUR,0.01,3900,1.0,100000,0.001,0.0001,Full Trading
CGLD-EUR,CGLD,EUR,0.1,34000,1.0,100000,0.01,0.0001,Full Trading
UMA-EUR,UMA,EUR,0.01,4500,1.0,100000,0.001,0.001,Full Trading
NU-EUR,NU,EUR,10,1300000,1.0,84000,0.000001,0.0001,Full Trading
FIL-EUR,FIL,EUR,0.01,3400,1.0,84000,0.001,0.0001,Full Trading
AAVE-EUR,AAVE,EUR,0.01,1200,1.0,92000,0.001,0.001,Limit Only
GRT-EUR,GRT,EUR,10,2500000,10.0,92000,0.01,0.0001,Full Trading
BNT-EUR,BNT,EUR,1,95000,1.0,92000,0.000001,0.0001,Full Trading
SNX-EUR,SNX,EUR,0.1,19000,1.0,92000,0.001,0.0001,Full Trading
SUSHI-EUR,SUSHI,EUR,0.1,12500,5.0,100000,0.01,0.001,Full Trading
MATIC-EUR,MATIC,EUR,5,1000000,5.0,100000,0.1,0.0001,Full Trading
SKL-EUR,SKL,EUR,5,1000000,5.0,100000,0.1,0.0001,Full Trading
ADA-EUR,ADA,EUR,1,250000,5.0,100000,0.01,0.0001,Full Trading
ANKR-EUR,ANKR,EUR,10,4000000,5,100000,1,0.00001,Full Trading
CRV-EUR,CRV,EUR,0.5,100000,5,100000,0.01,0.0001,Full Trading
BTC-GBP,BTC,GBP,0.0001,80,10,200000,0.00000001,0.01,Full Trading
ETH-GBP,ETH,GBP,0.001,1400,10,1000000,0.00000001,0.01,Full Trading
LTC-GBP,LTC,GBP,0.01,1000,10,250000,0.00000001,0.01,Full Trading
BCH-GBP,BCH,GBP,0.01,250,10,500000,0.00000001,0.01,Full Trading
XTZ-GBP,XTZ,GBP,1,100000,10,100000,0.01,0.00001,Full Trading
ETC-GBP,ETC,GBP,0.1,20000,10,100000,0.00000001,0.001,Full Trading
OMG-GBP,OMG,GBP,1,150000,1,100000,0.1,0.0001,Full Trading
LINK-GBP,LINK,GBP,0.1,90000,10,100000,0.01,0.00001,Full Trading
ALGO-GBP,ALGO,GBP,1,500000,10,100000,1,0.0001,Full Trading
BAND-GBP,BAND,GBP,0.1,18000,1.0,100000,0.01,0.0001,Full Trading
NMR-GBP,NMR,GBP,0.01,3900,1.0,100000,0.001,0.0001,Full Trading
CGLD-GBP,CGLD,GBP,0.1,34000,1.0,100000,0.01,0.0001,Full Trading
UMA-GBP,UMA,GBP,0.01,4500,1.0,100000,0.001,0.001,Full Trading
NU-GBP,NU,GBP,10,1300000,1.0,75000,0.000001,0.0001,Full Trading
FIL-GBP,FIL,GBP,0.01,3400,1.0,75000,0.001,0.0001,Full Trading
AAVE-GBP,AAVE,GBP,0.01,1200,1.0,82000,0.001,0.001,Limit Only
GRT-GBP,GRT,GBP,10,2500000,10.0,82000,0.01,0.0001,Full Trading
BNT-GBP,BNT,GBP,1,95000,1.0,82000,0.000001,0.0001,Full Trading
SNX-GBP,SNX,GBP,0.1,19000,1.0,82000,0.001,0.0001,Full Trading
SUSHI-GBP,SUSHI,GBP,0.1,12500,5.0,100000,0.01,0.001,Full Trading
MATIC-GBP,MATIC,GBP,5,1000000,5.0,100000,0.1,0.0001,Full Trading
SKL-GBP,SKL,GBP,5,1000000,5.0,100000,0.1,0.0001,Full Trading
ADA-GBP,ADA,GBP,1,250000,5.0,100000,0.01,0.0001,Full Trading
ANKR-GBP,ANKR,GBP,10,4000000,5,100000,1,0.00001,Limit Only
CRV-GBP,CRV,GBP,0.5,100000,5,100000,0.01,0.0001,Limit Only
ETH-BTC,ETH,BTC,0.001,2400,0.001,80,0.00000001,0.00001,Full Trading
LTC-BTC,LTC,BTC,0.01,8000,0.001,120,0.00000001,0.000001,Full Trading
BCH-BTC,BCH,BTC,0.01,400,0.001,60,0.00000001,0.00001,Full Trading
EOS-BTC,EOS,BTC,0.1,50000,0.001,30,0.1,0.000001,Full Trading
DASH-BTC,DASH,BTC,0.01,1500,0.0001,10,0.001,0.00000001,Full Trading
MKR-BTC,MKR,BTC,0.001,240,0.0001,11,0.000001,0.00001,Full Trading
XLM-BTC,XLM,BTC,1,600000,0.001,50,1,0.00000001,Full Trading
ATOM-BTC,ATOM,BTC,0.1,25000,0.001,30,0.1,0.000001,Full Trading
XTZ-BTC,XTZ,BTC,1,100000,0.001,10,0.01,0.00000001,Full Trading
ETC-BTC,ETC,BTC,0.1,5000,0.001,30,0.00000001,0.000001,Full Trading
OMG-BTC,OMG,BTC,1,150000,0.001,500,0.1,0.00000001,Full Trading
ZEC-BTC,ZEC,BTC,0.01,1500,0.001,30,0.0001,0.000001,Full Trading
LINK-BTC,LINK,BTC,0.1,6500,0.0001,6.0,0.01,0.00000001,Full Trading
REP-BTC,REP,BTC,0.1,5000,0.001,6,0.000001,0.000001,Full Trading
ZRX-BTC,ZRX,BTC,1,600000,0.001,60,0.00001,0.00000001,Full Trading
ALGO-BTC,ALGO,BTC,1,260000,0.0001,6.0,1,0.00000001,Full Trading
KNC-BTC,KNC,BTC,1,600000,0.001,30,0.1,0.00000001,Full Trading
COMP-BTC,COMP,BTC,0.01,1700,0.0001,10,0.001,0.000001,Full Trading
BAND-BTC,BAND,BTC,0.1,18000,0.0001,10,0.01,0.00000001,Full Trading
NMR-BTC,NMR,BTC,0.01,3900,0.0001,10,0.001,0.00000001,Full Trading
CGLD-BTC,CGLD,BTC,0.1,34000,0.0001,10,0.01,0.00000001,Full Trading
UMA-BTC,UMA,BTC,0.01,4500,0.0001,10,0.001,0.00000001,Full Trading
LRC-BTC,LRC,BTC,1,440000,0.0001,6.0,1,0.00000001,Full Trading
YFI-BTC,YFI,BTC,0.00001,4.2,0.0001,6.0,0.000001,0.00001,Full Trading
UNI-BTC,UNI,BTC,0.1,25000,0.0001,6.0,0.1,0.00000001,Full Trading
REN-BTC,REN,BTC,1,460000,0.0001,10,1,0.00000001,Full Trading
WBTC-BTC,WBTC,BTC,0.0001,10,0.0001,10,0.00000001,0.0001,Limit Only
BAL-BTC,BAL,BTC,0.1,6700,0.0001,10,0.01,0.00000001,Full Trading
NU-BTC,NU,BTC,10,1300000,0.0001,6,1,0.00000001,Full Trading
FIL-BTC,FIL,BTC,0.01,3400,0.0001,6,0.001,0.00000001,Full Trading
AAVE-BTC,AAVE,BTC,0.01,1200,0.0001,5.2,0.001,0.00000001,Full Trading
GRT-BTC,GRT,BTC,10,2500000,0.0000001,5.2,0.01,0.00000001,Full Trading
BNT-BTC,BNT,BTC,1,95000,0.0001,5.1,1,0.00000001,Full Trading
SNX-BTC,SNX,BTC,0.1,19000,0.0001,5.1,0.01,0.00000001,Full Trading
SUSHI-BTC,SUSHI,BTC,0.1,12500,0.0001,2,0.01,0.00000001,Full Trading
MATIC-BTC,MATIC,BTC,5,1000000,0.0001,2.0,0.1,0.00000001,Full Trading
SKL-BTC,SKL,BTC,5,1000000,0.0001,2.0,0.1,0.00000001,Full Trading
ADA-BTC,ADA,BTC,1,250000,0.0001,2,0.01,0.00000001,Full Trading
ANKR-BTC,ANKR,BTC,10,4000000,0.0001,2,1,0.00000001,Full Trading
CRV-BTC,CRV,BTC,0.5,100000,0.0001,2,0.01,0.0000001,Full Trading
STORJ-BTC,STORJ,BTC,1,280000,0.0001,2,0.01,0.00000001,Full Trading
LINK-ETH,LINK,ETH,0.1,90000,0.01,400,0.01,0.00000001,Full Trading
BAT-ETH,BAT,ETH,1,300000,0.01,500,1,0.00000001,Full Trading
SUSHI-ETH,SUSHI,ETH,0.1,12500,0.002,50,0.01,0.000001,Full Trading
BTC-USDC,BTC,USDC,0.0001,280,10,1000000,0.00000001,0.01,Full Trading
ETH-USDC,ETH,USDC,0.001,2800,10,1000000,0.00000001,0.01,Full Trading
ZEC-USDC,ZEC,USDC,0.01,5000,10,250000,0.00000001,0.01,Full Trading
BAT-USDC,BAT,USDC,1,800000,10,100000,1,0.000001,Full Trading
DAI-USDC,DAI,USDC,1,100000,5,100000,0.00001,0.000001,Limit Only
GNT-USDC,GNT,USDC,1,1500000,0.01,100000,1,0.000001,Full Trading
MANA-USDC,MANA,USDC,1,2800000,0.1,100000,1,0.000001,Full Trading
LOOM-USDC,LOOM,USDC,1,2500000,0.1,100000,1,0.000001,Full Trading
CVC-USDC,CVC,USDC,1,2000000,0.1,100000,1,0.000001,Full Trading
DNT-USDC,DNT,USDC,1,10000000,0.1,100000,1,0.000001,Full Trading
ETH-DAI,ETH,DAI,0.001,700,10,100000,0.0001,0.01,Full Trading